"SliderCrank"
"PART_4: PART/4"

"Time      "	"PART_4_XFORM.ACCX"
2.420000e-02	1.333754e+07
2.430000e-02	1.326309e+07
2.440000e-02	1.318938e+07
2.450000e-02	1.311646e+07
2.460000e-02	1.304436e+07
2.470000e-02	1.297311e+07
2.480000e-02	1.290275e+07
2.490000e-02	1.283331e+07
2.500000e-02	1.276483e+07
2.510000e-02	1.269734e+07
2.520000e-02	1.263086e+07
2.530000e-02	1.256541e+07
2.540000e-02	1.250104e+07
2.550000e-02	1.243776e+07
2.560000e-02	1.237560e+07
2.570000e-02	1.231458e+07
2.580000e-02	1.225472e+07
2.590000e-02	1.219604e+07
2.600000e-02	1.213857e+07
2.610000e-02	1.208231e+07
2.620000e-02	1.202730e+07
2.630000e-02	1.197355e+07
2.640000e-02	1.192107e+07
2.650000e-02	1.186988e+07
2.660000e-02	1.182000e+07
2.670000e-02	1.177143e+07
2.680000e-02	1.172420e+07
2.690000e-02	1.167830e+07
2.700000e-02	1.163377e+07
2.710000e-02	1.159060e+07
2.720000e-02	1.154881e+07
2.730000e-02	1.150841e+07
2.740000e-02	1.146941e+07
2.750000e-02	1.143181e+07
2.760000e-02	1.139563e+07
2.770000e-02	1.136087e+07
2.780000e-02	1.132754e+07
2.790000e-02	1.129565e+07
2.800000e-02	1.126521e+07
2.810000e-02	1.123621e+07
2.820000e-02	1.120867e+07
2.830000e-02	1.118258e+07
2.840000e-02	1.115797e+07
2.850000e-02	1.113482e+07
2.860000e-02	1.111315e+07
2.870000e-02	1.109296e+07
2.880000e-02	1.107425e+07
2.890000e-02	1.105702e+07
2.900000e-02	1.104129e+07
2.910000e-02	1.102704e+07
2.920000e-02	1.101429e+07
2.930000e-02	1.100303e+07
2.940000e-02	1.099327e+07
2.950000e-02	1.098501e+07
2.960000e-02	1.097825e+07
2.970000e-02	1.097299e+07
2.980000e-02	1.096923e+07
2.990000e-02	1.096698e+07
3.000000e-02	1.096623e+07
3.010000e-02	1.096698e+07
3.020000e-02	1.096923e+07
3.030000e-02	1.097299e+07
3.040000e-02	1.097825e+07
3.050000e-02	1.098501e+07
3.060000e-02	1.099327e+07
3.070000e-02	1.100303e+07
3.080000e-02	1.101429e+07
3.090000e-02	1.102704e+07
3.100000e-02	1.104129e+07
3.110000e-02	1.105702e+07
3.120000e-02	1.107425e+07
3.130000e-02	1.109296e+07
3.140000e-02	1.111315e+07
3.150000e-02	1.113482e+07
3.160000e-02	1.115797e+07
3.170000e-02	1.118258e+07
3.180000e-02	1.120867e+07
3.190000e-02	1.123621e+07
3.200000e-02	1.126521e+07
3.210000e-02	1.129565e+07
3.220000e-02	1.132754e+07
3.230000e-02	1.136087e+07
3.240000e-02	1.139563e+07
3.250000e-02	1.143181e+07
3.260000e-02	1.146941e+07
3.270000e-02	1.150841e+07
3.280000e-02	1.154881e+07
3.290000e-02	1.159060e+07
3.300000e-02	1.163377e+07
3.310000e-02	1.167830e+07
3.320000e-02	1.172420e+07
3.330000e-02	1.177143e+07
3.340000e-02	1.182000e+07
3.350000e-02	1.186988e+07
3.360000e-02	1.192107e+07
3.370000e-02	1.197355e+07
3.380000e-02	1.202730e+07
3.390000e-02	1.208231e+07
3.400000e-02	1.213857e+07
3.410000e-02	1.219604e+07
3.420000e-02	1.225472e+07
3.430000e-02	1.231458e+07
3.440000e-02	1.237560e+07
3.450000e-02	1.243776e+07
3.460000e-02	1.250104e+07
3.470000e-02	1.256541e+07
3.480000e-02	1.263086e+07
3.490000e-02	1.269734e+07
3.500000e-02	1.276483e+07
3.510000e-02	1.283331e+07
3.520000e-02	1.290275e+07
3.530000e-02	1.297311e+07
3.540000e-02	1.304436e+07
3.550000e-02	1.311646e+07
3.560000e-02	1.318938e+07
3.570000e-02	1.326309e+07
3.580000e-02	1.333754e+07
3.590000e-02	1.341270e+07
3.600000e-02	1.348851e+07
3.610000e-02	1.356495e+07
3.620000e-02	1.364195e+07
3.630000e-02	1.371948e+07
3.640000e-02	1.379749e+07
3.650000e-02	1.387593e+07
3.660000e-02	1.395473e+07
3.670000e-02	1.403386e+07
3.680000e-02	1.411325e+07
3.690000e-02	1.419285e+07
3.700000e-02	1.427259e+07
3.710000e-02	1.435241e+07
3.720000e-02	1.443225e+07
3.730000e-02	1.451204e+07
3.740000e-02	1.459171e+07
3.750000e-02	1.467120e+07
3.760000e-02	1.475043e+07
3.770000e-02	1.482932e+07
3.780000e-02	1.490781e+07
3.790000e-02	1.498580e+07
3.800000e-02	1.506322e+07
3.810000e-02	1.513998e+07
3.820000e-02	1.521601e+07
3.830000e-02	1.529120e+07
3.840000e-02	1.536548e+07
3.850000e-02	1.543874e+07
3.860000e-02	1.551090e+07
3.870000e-02	1.558186e+07
3.880000e-02	1.565151e+07
3.890000e-02	1.571977e+07
3.900000e-02	1.578652e+07
3.910000e-02	1.585166e+07
3.920000e-02	1.591508e+07
3.930000e-02	1.597669e+07
3.940000e-02	1.603635e+07
3.950000e-02	1.609397e+07
3.960000e-02	1.614943e+07
3.970000e-02	1.620261e+07
3.980000e-02	1.625340e+07
3.990000e-02	1.630167e+07
4.000000e-02	1.634731e+07
4.010000e-02	1.639020e+07
4.020000e-02	1.643021e+07
4.030000e-02	1.646722e+07
4.040000e-02	1.650110e+07
4.050000e-02	1.653173e+07
4.060000e-02	1.655898e+07
4.070000e-02	1.658273e+07
4.080000e-02	1.660285e+07
4.090000e-02	1.661920e+07
4.100000e-02	1.663168e+07
4.110000e-02	1.664013e+07
4.120000e-02	1.664445e+07
4.130000e-02	1.664449e+07
4.140000e-02	1.664014e+07
4.150000e-02	1.663127e+07
4.160000e-02	1.661775e+07
4.170000e-02	1.659946e+07
4.180000e-02	1.657628e+07
4.190000e-02	1.654809e+07
4.200000e-02	1.651477e+07
4.210000e-02	1.647619e+07
4.220000e-02	1.643225e+07
4.230000e-02	1.638284e+07
4.240000e-02	1.632783e+07
4.250000e-02	1.626713e+07
4.260000e-02	1.620063e+07
4.270000e-02	1.612823e+07
4.280000e-02	1.604983e+07
4.290000e-02	1.596534e+07
4.300000e-02	1.587466e+07
4.310000e-02	1.577770e+07
4.320000e-02	1.567440e+07
4.330000e-02	1.556465e+07
4.340000e-02	1.544841e+07
4.350000e-02	1.532558e+07
4.360000e-02	1.519611e+07
4.370000e-02	1.505994e+07
4.380000e-02	1.491701e+07
4.390000e-02	1.476728e+07
4.400000e-02	1.461070e+07
4.410000e-02	1.444724e+07
4.420000e-02	1.427685e+07
4.430000e-02	1.409952e+07
4.440000e-02	1.391522e+07
4.450000e-02	1.372394e+07
4.460000e-02	1.352567e+07
4.470000e-02	1.332040e+07
4.480000e-02	1.310814e+07
4.490000e-02	1.288891e+07
4.500000e-02	1.266271e+07
4.510000e-02	1.242957e+07
4.520000e-02	1.218951e+07
4.530000e-02	1.194257e+07
4.540000e-02	1.168879e+07
4.550000e-02	1.142823e+07
4.560000e-02	1.116092e+07
4.570000e-02	1.088693e+07
4.580000e-02	1.060633e+07
4.590000e-02	1.031918e+07
4.600000e-02	1.002557e+07
4.610000e-02	9.725575e+06
4.620000e-02	9.419283e+06
4.630000e-02	9.106789e+06
4.640000e-02	8.788191e+06
4.650000e-02	8.463595e+06
4.660000e-02	8.133109e+06
4.670000e-02	7.796849e+06
4.680000e-02	7.454932e+06
4.690000e-02	7.107483e+06
4.700000e-02	6.754629e+06
4.710000e-02	6.396504e+06
4.720000e-02	6.033242e+06
4.730000e-02	5.664985e+06
4.740000e-02	5.291875e+06
4.750000e-02	4.914059e+06
4.760000e-02	4.531689e+06
4.770000e-02	4.144917e+06
4.780000e-02	3.753899e+06
4.790000e-02	3.358794e+06
4.800000e-02	2.959763e+06
4.810000e-02	2.556969e+06
4.820000e-02	2.150577e+06
4.830000e-02	1.740754e+06
4.840000e-02	1.327669e+06
4.850000e-02	9.114903e+05
4.860000e-02	4.923896e+05
4.870000e-02	7.053845e+04
4.880000e-02	-3.538906e+05
4.890000e-02	-7.807246e+05
4.900000e-02	-1.209790e+06
4.910000e-02	-1.640914e+06
4.920000e-02	-2.073922e+06
4.930000e-02	-2.508641e+06
4.940000e-02	-2.944899e+06
4.950000e-02	-3.382522e+06
4.960000e-02	-3.821339e+06
4.970000e-02	-4.261179e+06
4.980000e-02	-4.701871e+06
4.990000e-02	-5.143248e+06
5.000000e-02	-5.585140e+06
5.010000e-02	-6.027381e+06
5.020000e-02	-6.469808e+06
5.030000e-02	-6.912255e+06
5.040000e-02	-7.354562e+06
5.050000e-02	-7.796569e+06
5.060000e-02	-8.238116e+06
5.070000e-02	-8.679049e+06
5.080000e-02	-9.119213e+06
5.090000e-02	-9.558457e+06
5.100000e-02	-9.996629e+06
5.110000e-02	-1.043358e+07
5.120000e-02	-1.086917e+07
5.130000e-02	-1.130326e+07
5.140000e-02	-1.173569e+07
5.150000e-02	-1.216634e+07
5.160000e-02	-1.259507e+07
5.170000e-02	-1.302174e+07
5.180000e-02	-1.344623e+07
5.190000e-02	-1.386840e+07
5.200000e-02	-1.428813e+07
5.210000e-02	-1.470530e+07
5.220000e-02	-1.511979e+07
5.230000e-02	-1.553147e+07
5.240000e-02	-1.594024e+07
5.250000e-02	-1.634597e+07
5.260000e-02	-1.674856e+07
5.270000e-02	-1.714791e+07
5.280000e-02	-1.754389e+07
5.290000e-02	-1.793642e+07
5.300000e-02	-1.832539e+07
5.310000e-02	-1.871071e+07
5.320000e-02	-1.909227e+07
5.330000e-02	-1.946998e+07
5.340000e-02	-1.984376e+07
5.350000e-02	-2.021351e+07
5.360000e-02	-2.057915e+07
5.370000e-02	-2.094059e+07
5.380000e-02	-2.129776e+07
5.390000e-02	-2.165057e+07
5.400000e-02	-2.199894e+07
5.410000e-02	-2.234281e+07
5.420000e-02	-2.268209e+07
5.430000e-02	-2.301672e+07
5.440000e-02	-2.334663e+07
5.450000e-02	-2.367175e+07
5.460000e-02	-2.399201e+07
5.470000e-02	-2.430736e+07
5.480000e-02	-2.461773e+07
5.490000e-02	-2.492306e+07
5.500000e-02	-2.522329e+07
5.510000e-02	-2.551838e+07
5.520000e-02	-2.580826e+07
5.530000e-02	-2.609288e+07
5.540000e-02	-2.637220e+07
5.550000e-02	-2.664616e+07
5.560000e-02	-2.691472e+07
5.570000e-02	-2.717782e+07
5.580000e-02	-2.743544e+07
5.590000e-02	-2.768752e+07
5.600000e-02	-2.793402e+07
5.610000e-02	-2.817491e+07
5.620000e-02	-2.841014e+07
5.630000e-02	-2.863968e+07
5.640000e-02	-2.886349e+07
5.650000e-02	-2.908154e+07
5.660000e-02	-2.929379e+07
5.670000e-02	-2.950022e+07
5.680000e-02	-2.970079e+07
5.690000e-02	-2.989547e+07
5.700000e-02	-3.008424e+07
5.710000e-02	-3.026706e+07
5.720000e-02	-3.044392e+07
5.730000e-02	-3.061478e+07
5.740000e-02	-3.077963e+07
5.750000e-02	-3.093843e+07
5.760000e-02	-3.109118e+07
5.770000e-02	-3.123784e+07
5.780000e-02	-3.137841e+07
5.790000e-02	-3.151285e+07
5.800000e-02	-3.164115e+07
5.810000e-02	-3.176330e+07
5.820000e-02	-3.187928e+07
5.830000e-02	-3.198907e+07
5.840000e-02	-3.209266e+07
5.850000e-02	-3.219004e+07
5.860000e-02	-3.228119e+07
5.870000e-02	-3.236610e+07
5.880000e-02	-3.244477e+07
5.890000e-02	-3.251718e+07
5.900000e-02	-3.258332e+07
5.910000e-02	-3.264319e+07
5.920000e-02	-3.269678e+07
5.930000e-02	-3.274408e+07
5.940000e-02	-3.278508e+07
5.950000e-02	-3.281978e+07
5.960000e-02	-3.284818e+07
5.970000e-02	-3.287027e+07
5.980000e-02	-3.288605e+07
5.990000e-02	-3.289552e+07
6.000000e-02	-3.289868e+07
6.010000e-02	-3.289552e+07
6.020000e-02	-3.288605e+07
6.030000e-02	-3.287027e+07
6.040000e-02	-3.284818e+07
6.050000e-02	-3.281978e+07
6.060000e-02	-3.278508e+07
6.070000e-02	-3.274408e+07
6.080000e-02	-3.269678e+07
6.090000e-02	-3.264319e+07
6.100000e-02	-3.258332e+07
6.110000e-02	-3.251718e+07
6.120000e-02	-3.244477e+07
6.130000e-02	-3.236610e+07
6.140000e-02	-3.228119e+07
6.150000e-02	-3.219004e+07
6.160000e-02	-3.209266e+07
6.170000e-02	-3.198907e+07
6.180000e-02	-3.187928e+07
6.190000e-02	-3.176330e+07
6.200000e-02	-3.164115e+07
6.210000e-02	-3.151285e+07
6.220000e-02	-3.137841e+07
6.230000e-02	-3.123784e+07
6.240000e-02	-3.109118e+07
6.250000e-02	-3.093843e+07
6.260000e-02	-3.077963e+07
6.270000e-02	-3.061478e+07
6.280000e-02	-3.044392e+07
6.290000e-02	-3.026706e+07
6.300000e-02	-3.008424e+07
6.310000e-02	-2.989547e+07
6.320000e-02	-2.970079e+07
6.330000e-02	-2.950022e+07
6.340000e-02	-2.929379e+07
6.350000e-02	-2.908154e+07
6.360000e-02	-2.886349e+07
6.370000e-02	-2.863968e+07
6.380000e-02	-2.841014e+07
6.390000e-02	-2.817491e+07
6.400000e-02	-2.793402e+07
6.410000e-02	-2.768752e+07
6.420000e-02	-2.743544e+07
6.430000e-02	-2.717782e+07
6.440000e-02	-2.691472e+07
6.450000e-02	-2.664616e+07
6.460000e-02	-2.637220e+07
6.470000e-02	-2.609288e+07
6.480000e-02	-2.580826e+07
6.490000e-02	-2.551838e+07
6.500000e-02	-2.522329e+07
6.510000e-02	-2.492306e+07
6.520000e-02	-2.461773e+07
6.530000e-02	-2.430736e+07
6.540000e-02	-2.399201e+07
6.550000e-02	-2.367175e+07
6.560000e-02	-2.334663e+07
6.570000e-02	-2.301672e+07
6.580000e-02	-2.268209e+07
6.590000e-02	-2.234281e+07
6.600000e-02	-2.199894e+07
6.610000e-02	-2.165057e+07
6.620000e-02	-2.129776e+07
6.630000e-02	-2.094059e+07
6.640000e-02	-2.057915e+07
6.650000e-02	-2.021351e+07
6.660000e-02	-1.984376e+07
6.670000e-02	-1.946998e+07
6.680000e-02	-1.909227e+07
6.690000e-02	-1.871071e+07
6.700000e-02	-1.832539e+07
6.710000e-02	-1.793642e+07
6.720000e-02	-1.754389e+07
6.730000e-02	-1.714791e+07
6.740000e-02	-1.674856e+07
6.750000e-02	-1.634597e+07
6.760000e-02	-1.594024e+07
6.770000e-02	-1.553147e+07
6.780000e-02	-1.511979e+07
6.790000e-02	-1.470530e+07
6.800000e-02	-1.428813e+07
6.810000e-02	-1.386840e+07
6.820000e-02	-1.344623e+07
6.830000e-02	-1.302174e+07
6.840000e-02	-1.259507e+07
6.850000e-02	-1.216634e+07
6.860000e-02	-1.173569e+07
6.870000e-02	-1.130326e+07
