"  Pendulum"
"MEA_ANGLE_1: VARIABLE_CLASS/1"

"Time      "	"MEA_ANGLE_1.Q"
4.076000e+00	2.999370e+01
4.077000e+00	2.999544e+01
4.078000e+00	2.999690e+01
4.079000e+00	2.999808e+01
4.080000e+00	2.999897e+01
4.081000e+00	2.999959e+01
4.082000e+00	2.999993e+01
4.083000e+00	2.999998e+01
4.084000e+00	2.999975e+01
4.085000e+00	2.999925e+01
4.086000e+00	2.999846e+01
4.087000e+00	2.999739e+01
4.088000e+00	2.999604e+01
4.089000e+00	2.999441e+01
4.090000e+00	2.999250e+01
4.091000e+00	2.999031e+01
4.092000e+00	2.998783e+01
4.093000e+00	2.998508e+01
4.094000e+00	2.998204e+01
4.095000e+00	2.997873e+01
4.096000e+00	2.997513e+01
4.097000e+00	2.997125e+01
4.098000e+00	2.996710e+01
4.099000e+00	2.996266e+01
4.100000e+00	2.995794e+01
4.101000e+00	2.995294e+01
4.102000e+00	2.994766e+01
4.103000e+00	2.994210e+01
4.104000e+00	2.993625e+01
4.105000e+00	2.993013e+01
4.106000e+00	2.992373e+01
4.107000e+00	2.991705e+01
4.108000e+00	2.991009e+01
4.109000e+00	2.990284e+01
4.110000e+00	2.989532e+01
4.111000e+00	2.988752e+01
4.112000e+00	2.987943e+01
4.113000e+00	2.987107e+01
4.114000e+00	2.986243e+01
4.115000e+00	2.985351e+01
4.116000e+00	2.984430e+01
4.117000e+00	2.983482e+01
4.118000e+00	2.982506e+01
4.119000e+00	2.981502e+01
4.120000e+00	2.980470e+01
4.121000e+00	2.979410e+01
4.122000e+00	2.978322e+01
4.123000e+00	2.977207e+01
4.124000e+00	2.976063e+01
4.125000e+00	2.974891e+01
4.126000e+00	2.973692e+01
4.127000e+00	2.972465e+01
4.128000e+00	2.971209e+01
4.129000e+00	2.969926e+01
4.130000e+00	2.968616e+01
4.131000e+00	2.967277e+01
4.132000e+00	2.965910e+01
4.133000e+00	2.964516e+01
4.134000e+00	2.963094e+01
4.135000e+00	2.961644e+01
4.136000e+00	2.960167e+01
4.137000e+00	2.958661e+01
4.138000e+00	2.957128e+01
4.139000e+00	2.955567e+01
4.140000e+00	2.953979e+01
4.141000e+00	2.952362e+01
4.142000e+00	2.950718e+01
4.143000e+00	2.949047e+01
4.144000e+00	2.947347e+01
4.145000e+00	2.945620e+01
4.146000e+00	2.943866e+01
4.147000e+00	2.942084e+01
4.148000e+00	2.940274e+01
4.149000e+00	2.938436e+01
4.150000e+00	2.936572e+01
4.151000e+00	2.934679e+01
4.152000e+00	2.932759e+01
4.153000e+00	2.930811e+01
4.154000e+00	2.928836e+01
4.155000e+00	2.926834e+01
4.156000e+00	2.924804e+01
4.157000e+00	2.922746e+01
4.158000e+00	2.920661e+01
4.159000e+00	2.918549e+01
4.160000e+00	2.916409e+01
4.161000e+00	2.914242e+01
4.162000e+00	2.912048e+01
4.163000e+00	2.909826e+01
4.164000e+00	2.907577e+01
4.165000e+00	2.905300e+01
4.166000e+00	2.902997e+01
4.167000e+00	2.900666e+01
4.168000e+00	2.898307e+01
4.169000e+00	2.895922e+01
4.170000e+00	2.893509e+01
4.171000e+00	2.891069e+01
4.172000e+00	2.888602e+01
4.173000e+00	2.886108e+01
4.174000e+00	2.883587e+01
4.175000e+00	2.881039e+01
4.176000e+00	2.878463e+01
4.177000e+00	2.875861e+01
4.178000e+00	2.873231e+01
4.179000e+00	2.870575e+01
4.180000e+00	2.867891e+01
4.181000e+00	2.865180e+01
4.182000e+00	2.862443e+01
4.183000e+00	2.859679e+01
4.184000e+00	2.856887e+01
4.185000e+00	2.854069e+01
4.186000e+00	2.851224e+01
4.187000e+00	2.848352e+01
4.188000e+00	2.845454e+01
4.189000e+00	2.842529e+01
4.190000e+00	2.839576e+01
4.191000e+00	2.836598e+01
4.192000e+00	2.833592e+01
4.193000e+00	2.830560e+01
4.194000e+00	2.827501e+01
4.195000e+00	2.824416e+01
4.196000e+00	2.821304e+01
4.197000e+00	2.818165e+01
4.198000e+00	2.815000e+01
4.199000e+00	2.811808e+01
4.200000e+00	2.808590e+01
4.201000e+00	2.805345e+01
4.202000e+00	2.802074e+01
4.203000e+00	2.798777e+01
4.204000e+00	2.795453e+01
4.205000e+00	2.792103e+01
4.206000e+00	2.788727e+01
4.207000e+00	2.785324e+01
4.208000e+00	2.781895e+01
4.209000e+00	2.778440e+01
4.210000e+00	2.774958e+01
4.211000e+00	2.771451e+01
4.212000e+00	2.767917e+01
4.213000e+00	2.764358e+01
4.214000e+00	2.760772e+01
4.215000e+00	2.757160e+01
4.216000e+00	2.753522e+01
4.217000e+00	2.749858e+01
4.218000e+00	2.746168e+01
4.219000e+00	2.742453e+01
4.220000e+00	2.738711e+01
4.221000e+00	2.734944e+01
4.222000e+00	2.731150e+01
4.223000e+00	2.727331e+01
4.224000e+00	2.723487e+01
4.225000e+00	2.719616e+01
4.226000e+00	2.715720e+01
4.227000e+00	2.711798e+01
4.228000e+00	2.707851e+01
4.229000e+00	2.703878e+01
4.230000e+00	2.699879e+01
4.231000e+00	2.695855e+01
4.232000e+00	2.691806e+01
4.233000e+00	2.687731e+01
4.234000e+00	2.683630e+01
4.235000e+00	2.679505e+01
4.236000e+00	2.675354e+01
4.237000e+00	2.671177e+01
4.238000e+00	2.666976e+01
4.239000e+00	2.662749e+01
4.240000e+00	2.658497e+01
4.241000e+00	2.654220e+01
4.242000e+00	2.649917e+01
4.243000e+00	2.645590e+01
4.244000e+00	2.641238e+01
4.245000e+00	2.636860e+01
4.246000e+00	2.632458e+01
4.247000e+00	2.628031e+01
4.248000e+00	2.623579e+01
4.249000e+00	2.619102e+01
4.250000e+00	2.614600e+01
4.251000e+00	2.610073e+01
4.252000e+00	2.605522e+01
4.253000e+00	2.600946e+01
4.254000e+00	2.596346e+01
4.255000e+00	2.591721e+01
4.256000e+00	2.587071e+01
4.257000e+00	2.582397e+01
4.258000e+00	2.577698e+01
4.259000e+00	2.572975e+01
4.260000e+00	2.568227e+01
4.261000e+00	2.563456e+01
4.262000e+00	2.558659e+01
4.263000e+00	2.553839e+01
4.264000e+00	2.548994e+01
4.265000e+00	2.544125e+01
4.266000e+00	2.539232e+01
4.267000e+00	2.534315e+01
4.268000e+00	2.529374e+01
4.269000e+00	2.524409e+01
4.270000e+00	2.519420e+01
4.271000e+00	2.514407e+01
4.272000e+00	2.509370e+01
4.273000e+00	2.504309e+01
4.274000e+00	2.499225e+01
4.275000e+00	2.494117e+01
4.276000e+00	2.488985e+01
4.277000e+00	2.483829e+01
4.278000e+00	2.478650e+01
4.279000e+00	2.473447e+01
4.280000e+00	2.468221e+01
4.281000e+00	2.462971e+01
4.282000e+00	2.457698e+01
4.283000e+00	2.452402e+01
4.284000e+00	2.447082e+01
4.285000e+00	2.441739e+01
4.286000e+00	2.436372e+01
4.287000e+00	2.430983e+01
4.288000e+00	2.425570e+01
4.289000e+00	2.420135e+01
4.290000e+00	2.414676e+01
4.291000e+00	2.409194e+01
4.292000e+00	2.403689e+01
4.293000e+00	2.398162e+01
4.294000e+00	2.392612e+01
4.295000e+00	2.387038e+01
4.296000e+00	2.381442e+01
4.297000e+00	2.375824e+01
4.298000e+00	2.370183e+01
4.299000e+00	2.364519e+01
4.300000e+00	2.358832e+01
4.301000e+00	2.353124e+01
4.302000e+00	2.347392e+01
4.303000e+00	2.341639e+01
4.304000e+00	2.335863e+01
4.305000e+00	2.330064e+01
